Report ID,Filing Year,Filing Period,Report Type,Entity Name,Street Address,City,State,Zip Code,Phone Number,Principal Last Name,Principal First Name,Lobbyist Employees,Target Office,Candidate Last Name,Candidate First Name,Candidate Type,Political Committee,Third Party,Compensation Owed,Total Expenses,Total Raised
396032,2019,3,Fundraising,Davidoff Hutcher & Citron LLP,605 Third Avenue,"New York,",NY,10158,6464283280,Goldstein,Arthur,Arthur Goldstein;,City Council Member,Salamanca,Rafael,Candidate,Salamanca 2021,,3250,0,3250
396032,2019,3,Fundraising,Davidoff Hutcher & Citron LLP,605 Third Avenue,"New York,",NY,10158,6464283280,Goldstein,Arthur,Arthur Goldstein;,City Council Member,Louis,Farah,Candidate,Farah for City Council,,750,0,750
396032,2019,3,Fundraising,Davidoff Hutcher & Citron LLP,605 Third Avenue,"New York,",NY,10158,6464283280,Goldstein,Arthur,Arthur Goldstein;,City Council Member,Espinal,Rafael,Candidate,Espinal for NYC,,250,0,250
396032,2019,3,Fundraising,Davidoff Hutcher & Citron LLP,605 Third Avenue,"New York,",NY,10158,6464283280,Goldstein,Arthur,Arthur Goldstein;,City Council Member,Salamanca,Rafael,Candidate,Salamanca 2021,,3250,0,3250
396032,2019,3,Fundraising,Davidoff Hutcher & Citron LLP,605 Third Avenue,"New York,",NY,10158,6464283280,Goldstein,Arthur,Arthur Goldstein;,City Council Member,Louis,Farah,Candidate,Farah for City Council,,750,0,750
396032,2019,3,Fundraising,Davidoff Hutcher & Citron LLP,605 Third Avenue,"New York,",NY,10158,6464283280,Goldstein,Arthur,Arthur Goldstein;,City Council Member,Espinal,Rafael,Candidate,Espinal for NYC,,250,0,250
396032,2019,3,Fundraising,Davidoff Hutcher & Citron LLP,605 Third Avenue,"New York,",NY,10158,6464283280,Goldstein,Arthur,Arthur Goldstein;,City Council Member,Salamanca,Rafael,Candidate,Salamanca 2021,,3250,0,3250
397529,2019,3,Fundraising,Elana Shneyer,19 Hillside Avenue,Goldens Bridge,NY,10526,6465807671,Shneyer,Elana,Elana Shneyer;,Borough President,Levine,Mark,Candidate,NY for Levine,,0,20,1770
397596,2019,3,Fundraising,"Cozen O'Connor Public Strategies, LLC",277 Park Avenue,New York,NY,10172,2128834900,Shorenstein,Stuart,Kenneth Fisher;,Borough President,CORNEGY,ROBERT,Candidate,BROOKLYN BP,,0,0,500
397596,2019,3,Fundraising,"Cozen O'Connor Public Strategies, LLC",277 Park Avenue,New York,NY,10172,2128834900,Shorenstein,Stuart,Kenneth Fisher;,Borough President,CORNEGY,ROBERT,Candidate,BROOKLYN BP,,0,0,500
397619,2019,3,Fundraising,Constantinople & Vallone Consulting LLC,"233 Broadway, Suite 830",New York,NY,10279,2123936500,Vallone,Perry,Anthony Constantinople  III; Perry Vallone; Lauren George;,City Council Member,Salamanca,Rafael,Candidate,Salamanca 2021,,0,0,2950
397619,2019,3,Fundraising,Constantinople & Vallone Consulting LLC,"233 Broadway, Suite 830",New York,NY,10279,2123936500,Vallone,Perry,Anthony Constantinople  III; Lauren George; Perry Vallone;,Borough President,Reynoso,Antonio,Candidate,Reynoso for Brooklyn,,0,0,1000
397619,2019,3,Fundraising,Constantinople & Vallone Consulting LLC,"233 Broadway, Suite 830",New York,NY,10279,2123936500,Vallone,Perry,Perry Vallone;,Borough President,Vallone,Paul,Candidate,Vote Vallone,,0,0,2500
